country_name,country_code,year,export_value_usd
Bangladesh,BGD,2022,31107.057
Bangladesh,BGD,2023,135451.601
Barbados,BRB,2018,925314.069
Barbados,BRB,2019,952441.523
Barbados,BRB,2020,374802.48
Barbados,BRB,2021,1409625.384
Barbados,BRB,2022,1394742.903
Barbados,BRB,2023,1207651.621
Barbados,BRB,2024,1230375.006
Belarus,BLR,2018,3226278.937
Belarus,BLR,2019,6092750.596
Belarus,BLR,2020,8109312.904
Belarus,BLR,2021,9753216.043
Belarus,BLR,2022,5375019.257
Belarus,BLR,2023,8944568.674
Belarus,BLR,2024,10274261.018
Belgium,BEL,2018,157831235.581
Belgium,BEL,2019,156620716.133
Belgium,BEL,2020,183567036.429
Belgium,BEL,2021,258741720.283
Belgium,BEL,2022,252004214.676
Belgium,BEL,2023,254494991.29
Belgium,BEL,2024,242935030.09
Belize,BLZ,2018,177652.091
Belize,BLZ,2019,170688.903
Belize,BLZ,2020,115990.004
Belize,BLZ,2021,131498.25
Belize,BLZ,2022,297544.156
Belize,BLZ,2023,194810.005
Belize,BLZ,2024,245133.59
Benin,BEN,2018,96008.017
Benin,BEN,2019,56170.851
Benin,BEN,2020,53024.165
Benin,BEN,2021,77607.871
Benin,BEN,2022,97140.577
Benin,BEN,2023,182045.629
Benin,BEN,2024,143654.232
Bermuda,BMU,2018,2027936.571
Bermuda,BMU,2019,1928135.5
Bermuda,BMU,2020,1905708.338
Bermuda,BMU,2021,1918364.57
Bermuda,BMU,2022,2069062.593
Bermuda,BMU,2023,2080161.871
Bermuda,BMU,2024,2086810.578
Bhutan,BTN,2018,30284.384
Bhutan,BTN,2021,27807.407
Bhutan,BTN,2022,53724.435
Bhutan,BTN,2023,75580.677
Bolivia (Plurinational State of),BOL,2018,25737.711
Bolivia (Plurinational State of),BOL,2019,23889.461
Bolivia (Plurinational State of),BOL,2020,15241.463
Bolivia (Plurinational State of),BOL,2023,3353.014
Bolivia (Plurinational State of),BOL,2024,3233.742
Bonaire,BES,2018,272972.793
Bonaire,BES,2019,284807.285
Bonaire,BES,2020,163256.359
Bonaire,BES,2021,256809.586
Bonaire,BES,2022,153694.554
Bonaire,BES,2024,255905.745
Bosnia Herzegovina,BIH,2018,181158.344
Bosnia Herzegovina,BIH,2019,257814.512
Bosnia Herzegovina,BIH,2020,111099.121
Bosnia Herzegovina,BIH,2021,259892.99
Bosnia Herzegovina,BIH,2022,315399.648
Bosnia Herzegovina,BIH,2023,405829.307
