typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","152","CHL","Chile","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","567875","true","-1","N/A","0","false","574825","false","0","false",,"2365832.31","2365832.31","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","156","CHN","China","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","33186305.284","true","-1","N/A","0","false","33184592","false","0","false",,"149852945.367","149852945.367","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","170","COL","Colombia","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","910867","true","-1","N/A","0","false","911334","false","0","false",,"3236202.494","3236202.494","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","178","COG","Congo","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","27104","false","7","l","27104","false","27079","false","0","false",,"116114.94","116114.94","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","180","COD","Dem. Rep. of the Congo","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","7749","false","7","l","7749","false","7893","false","0","false",,"46918.121","46918.121","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","188","CRI","Costa Rica","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","778553","true","-1","N/A","0","false","778681","false","0","false",,"2762485.235","2762485.235","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","191","HRV","Croatia","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","1789114","true","-1","N/A","0","false","1809888","false","0","false",,"5292131.217","5292131.217","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","192","CUB","Cuba","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","284949","true","-1","N/A","0","false","284949","false","0","false",,"1015197.658","1015197.658","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","196","CYP","Cyprus","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","2407717","true","-1","N/A","0","false","2416778","false","0","false",,"7445194.588","7445194.588","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","203","CZE","Czechia","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","22874121.935","true","-1","N/A","0","false","22932411","false","0","false",,"57354485.945","57354485.945","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","204","BEN","Benin","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","48359","false","7","l","48359","false","48359","false","0","false",,"96008.017","96008.017","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","208","DNK","Denmark","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","37521770.984","true","-1","N/A","0","false","38020582.178","true","0","false",,"171548296.177","171548296.177","6","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","214","DOM","Dominican Rep.","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","631746","true","-1","N/A","0","false","631759","false","0","false",,"3477927.244","3477927.244","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","218","ECU","Ecuador","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","374056","true","-1","N/A","0","false","374169","false","0","false",,"1154074.306","1154074.306","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","222","SLV","El Salvador","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","97229.713","true","-1","N/A","0","false","99099","false","0","false",,"477529.378","477529.378","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","231","ETH","Ethiopia","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","24352","true","-1","N/A","0","false","24352","false","0","false",,"190561.099","190561.099","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","232","ERI","Eritrea","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","347","false","7","l","347","false","347","false","0","false",,"2843.737","2843.737","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","233","EST","Estonia","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","3474783","true","-1","N/A","0","false","3483254","false","0","false",,"17485174.219","17485174.219","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","242","FJI","Fiji","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","22542","false","7","l","22542","false","22542","false","0","false",,"117952.505","117952.505","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","246","FIN","Finland","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","9535281","true","-1","N/A","0","false","9629584","false","0","false",,"45919463.068","45919463.068","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","251","FRA","France","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","83124235.893","true","-1","N/A","0","false","84554938","false","0","false",,"224913669.492","224913669.492","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","258","PYF","French Polynesia","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","6603","false","7","l","6603","false","6603","false","0","false",,"49180.829","49180.829","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","262","DJI","Djibouti","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","4677","true","-1","N/A","0","false","4677","false","0","false",,"36015.554","36015.554","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","266","GAB","Gabon","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","14574","false","7","l","14574","false","14556","false","0","false",,"57310.517","57310.517","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","268","GEO","Georgia","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","89858","true","-1","N/A","0","false","91125","false","0","false",,"749667.237","749667.237","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","270","GMB","Gambia","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","431","false","7","l","431","false","431","false","0","false",,"2565.032","2565.032","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","502057655.501","true","-1","N/A","0","false","504785885","false","0","false",,"1226593760.018","1226593760.018","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","288","GHA","Ghana","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","243877","true","-1","N/A","0","false","243893","false","0","false",,"834472.725","834472.725","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","292","GIB","Gibraltar","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","28379","false","7","l","28379","false","28379","false","0","false",,"187946.467","187946.467","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","300","GRC","Greece","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","12157267.692","true","-1","N/A","0","false","12556040","false","0","false",,"22349423.364","22349423.364","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","308","GRD","Grenada","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","40850","true","-1","N/A","0","false","40850","false","0","false",,"161614.736","161614.736","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","316","GUM","Guam","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","37158","true","-1","N/A","0","false","37158","false","0","false",,"218443.423","218443.423","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","320","GTM","Guatemala","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","189746","true","-1","N/A","0","false","189758","false","0","false",,"1025240.491","1025240.491","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","324","GIN","Guinea","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","489","false","7","l","489","false","487","false","0","false",,"3677.491","3677.491","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","328","GUY","Guyana","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","12546","true","-1","N/A","0","false","12546","false","0","false",,"67495.064","67495.064","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","332","HTI","Haiti","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","16878","false","7","l","16878","false","16878","false","0","false",,"72103.146","72103.146","0","false","true",
