country_name,country_code,year,total_imports_usd,italian_exports_usd,italian_market_share_pct
Eswatini,SWZ,2018,4868761.348,0,0
Eswatini,SWZ,2019,4713397.08,0,0
Eswatini,SWZ,2020,4877374.98,0,0
Eswatini,SWZ,2021,6903058.71,0,0
Eswatini,SWZ,2022,8293986.31,0,0
Eswatini,SWZ,2023,6885042.46,0,0
Ethiopia,ETH,2018,1929056.775,190561.099,9.878459849892183
Ethiopia,ETH,2019,2117490.19,295041.947,13.933568542293932
Ethiopia,ETH,2020,1593241.45,288949.317,18.135940224251634
Ethiopia,ETH,2021,1454211.67,303791.58,20.890465003626332
Ethiopia,ETH,2022,1591448.986,193195.461,12.139594966570924
Ethiopia,ETH,2023,1895557.326,525154.868,27.70450995054739
Fiji,FJI,2018,8064052.283,117952.505,1.4626951917047735
Fiji,FJI,2019,5976938.949,147718.569,2.4714752862703198
Fiji,FJI,2020,2427753.031,20926.173,0.8619564153681823
Fiji,FJI,2021,3746341.163,25807.394,0.6888692961250202
Fiji,FJI,2022,10302238.117,283158.458,2.7485140101038104
Fiji,FJI,2023,8429532.497,156495.251,1.8565116280848948
Fiji,FJI,2024,8903644.08,193571.853,2.1740744717639253
Finland,FIN,2018,263573573.226,45919463.068,17.421876748101205
Finland,FIN,2019,241216945.778,45521613.912,18.871648409765978
Finland,FIN,2020,246751958.794,51458513.447,20.85434851196458
Finland,FIN,2021,250349785.114,55943064.323,22.34596059170796
Finland,FIN,2022,255574273.831,50158786.018,19.625913542130533
Finland,FIN,2023,250861592.453,51051805.951,20.35058673262818
Finland,FIN,2024,251796850.284,49453410.654,19.640202249639668
France,FRA,2018,1134344549.593,224913669.492,19.827632580656246
France,FRA,2019,989876579.944,231625750.874,23.399457626030884
France,FRA,2020,963767332.58,214783343.343,22.28580862644785
France,FRA,2021,997998235.744,273574060.831,27.41227900338447
France,FRA,2022,1085031837.394,302368956.998,27.86728891976309
France,FRA,2023,1079685101.274,341897583.127,31.666416691641835
